         x          y          z  Frame
  1.341410 -29.396540 -66.149380      1
-30.354756  -3.785768 -36.565541      1
-29.368491  -3.275679 -37.404443      1
-19.745059   3.738644 -38.330594      1
-17.942075   5.693047 -34.809812      1
-34.335898   0.071752 -24.962318      1
 -2.420006   2.506958 -33.921749      1
 -5.497921   8.797474 -42.191085      1
 -6.763535 -11.542894 -59.016245      1
  9.605811 -32.441050 -51.082591      1
 -2.444658 -42.008200 -62.704681      1
 13.539952 -21.643911 -36.304913      1
 11.417737 -23.829511 -57.916279      1
  9.364672  -8.020373 -51.541070      1
 -6.693279 -32.356244 -66.838649      1
-14.848183 -16.296674 -57.921744      1
-12.778049  11.313922 -49.029348      1
  0.404503 -41.145742 -56.884689      1
  7.397328 -26.631249 -62.332264      1
  1.020730  -7.910752 -56.944467      1
-28.901813   4.925863 -23.517981      1
-33.810677  -2.808717 -30.761157      1
-34.075772  -1.453673 -23.952545      1
-24.670150  -1.175448 -20.038965      1
-38.124847  -3.519127 -25.671685      1
-35.019488  -1.760720 -20.324459      1
-28.288840  -1.217294 -16.905228      1
-24.204263 -10.365228 -18.567622      1
-35.222182  -8.194239 -24.276352      1
-33.196654  -7.715414 -29.917609      1
-20.305148 -11.526126 -24.567221      1
-29.255187 -12.103622 -27.702074      1
-21.712808   8.397967 -26.776796      1
 -3.551252  -3.256008 -26.305880      1
-28.988464 -13.799351 -23.470010      1
  3.423285   1.319932 -47.112911      1
-21.858728  -9.954712 -54.623466      1
 -4.088675   0.701281 -53.398474      1
  8.853115 -12.690255 -29.971506      1
 -2.374769 -20.564246 -62.051128      1
 12.317908 -28.185631 -43.518043      1
 11.001178 -16.571432 -55.081128      1
-10.308316 -24.032975 -62.360829      1
  4.653907 -16.772260 -59.332240      1
-28.217677  -3.821241 -51.709392      1
-32.591075  -4.560987 -32.498067      1
-30.878997  -3.794035 -46.053727      1
 -3.545417 -13.686859 -23.784873      1
-14.401879 -12.409488 -24.484779      1
-24.738405  -1.810369 -39.262604      1
 12.232862 -28.097093 -55.077953      1
 13.601485 -13.417655 -43.615118      1
-18.816950   7.542290 -30.056943      1
 -4.102647 -39.855185 -66.895180      1
  3.755293 -37.899622 -69.355859      1
  8.931956  -4.452871 -38.489294      1
 14.794285 -21.760103 -49.020294      1
  3.263024 -37.602598 -49.545301      1
  4.189802 -29.059641 -31.896658      1
  1.369084 -21.167131 -26.157949      1
  4.776738 -32.887088 -41.169766      1
-23.277099   6.341100 -24.683779      1
-13.894945  -2.841335 -24.706191      1
-33.143704  -3.346176 -33.728889      1
-33.248538  -2.585861 -37.914971      1
-12.623859  -3.156839 -56.111193      1
-19.161984   3.484117 -51.071827      1
  5.692875 -38.266994 -59.815176      1
  4.154547 -41.496246 -63.630329      1
  9.659034 -33.688669 -62.432375      1
-24.872758  -7.937985 -47.589986      1
-29.140714  -7.068754 -39.065376      1
-28.094639  -6.667324 -44.278278      1
-30.720154  -5.782869 -41.169391      1
-26.360276 -10.851541 -35.403864      1
