         x          y          z  Frame
 -2.175099 -30.295209 -63.616819      1
-26.910809  -3.172961 -37.014154      1
-25.576699  -2.382235 -37.688422      1
-17.749796  -0.351460 -41.107392      1
-12.127005   1.901991 -38.284467      1
-30.280348  -1.529215 -25.510047      1
 -0.274872  -0.716404 -35.492672      1
 -4.312889   8.582380 -43.813708      1
 -8.543096 -16.340364 -58.293739      1
  7.638128 -33.794083 -49.289884      1
 -7.829266 -40.692588 -59.601840      1
  7.907158 -25.335757 -40.453221      1
  5.306476 -25.932496 -57.437510      1
  3.811609 -14.385321 -54.298722      1
 -8.465739 -32.732478 -63.727484      1
-14.107597 -19.632021 -56.602126      1
-14.037160   8.766744 -50.785605      1
 -2.897670 -42.375481 -53.859840      1
  2.712708 -30.022805 -61.809575      1
 -1.883817 -12.939590 -55.855154      1
-23.845793   0.445265 -26.310911      1
-32.316883  -3.646041 -31.097993      1
-30.833751  -2.808741 -23.655421      1
-21.483558  -6.348982 -18.859990      1
-38.640064  -5.029518 -26.191096      1
-31.132080  -0.943468 -17.388988      1
-24.916181  -5.997208 -13.609536      1
-23.959606 -14.885927 -14.562734      1
-37.845096 -12.614807 -25.957575      1
-35.394556 -12.256965 -30.544421      1
-20.694802 -13.889732 -24.140542      1
-31.155955 -15.016311 -27.492762      1
-16.635285   1.993418 -31.185844      1
 -1.361404  -8.416163 -28.583573      1
-30.553254 -20.564370 -21.903839      1
  1.925861  -7.891379 -49.777265      1
-21.021684 -13.607633 -55.951099      1
 -4.290981  -7.738871 -54.108853      1
  5.370247 -15.633488 -36.871519      1
 -4.048633 -24.517544 -60.864527      1
  7.447601 -29.967933 -49.282077      1
  5.291129 -21.304247 -56.062556      1
-10.252261 -26.725379 -60.534738      1
  0.767546 -20.223280 -58.701715      1
-27.828386  -6.218065 -49.959114      1
-31.739609  -6.237496 -34.036272      1
-29.243271  -6.168440 -46.156176      1
 -8.372755 -16.359616 -36.589496      1
-15.208490 -13.113199 -26.332969      1
-23.812613  -2.357211 -39.199824      1
  6.577329 -31.809679 -56.346047      1
  7.875810 -16.529889 -46.655859      1
-15.653143   2.080937 -32.017687      1
 -8.127266 -37.823152 -63.432143      1
 -2.447491 -36.789314 -66.484347      1
  3.411450 -10.354454 -44.972882      1
  8.208635 -26.387326 -52.536789      1
  0.326009 -38.282655 -50.375832      1
  1.653981 -28.843295 -39.594270      1
 -2.259025 -22.485465 -32.439863      1
  0.791071 -34.403417 -44.074594      1
-19.430240   1.378219 -28.997688      1
-15.080851  -9.480398 -31.511843      1
-29.310018  -3.097295 -34.534838      1
-31.559259  -3.180291 -39.468378      1
-11.961949  -8.030468 -53.364654      1
-18.707498   1.250006 -49.882485      1
 -3.554576 -42.618478 -67.945338      1
 -2.838859 -41.991254 -63.942882      1
  2.303595 -34.334489 -60.062705      1
-24.274186 -10.840380 -47.506449      1
-25.812231  -6.779817 -39.211998      1
-26.437156  -8.056904 -43.812784      1
-29.122299  -7.068080 -41.975525      1
-25.489667 -10.975702 -35.131284      1
-19.903038 -10.938706 -29.286950      1
-22.244834  -9.939225 -31.717154      1
 -6.511979 -17.831642 -31.558774      1
-14.402804 -14.421926 -32.320205      1
-15.793411 -14.051513 -35.294777      1
-12.167348 -16.916239 -38.419902      1
-20.630118 -12.170828 -39.545267      1
-16.344769 -15.933534 -42.322407      1
-23.591655 -11.587451 -43.354056      1
-20.782706 -14.568439 -45.590952      1
 -8.870791 -36.325752 -54.347387      1
-11.358005 -31.272384 -60.164249      1
 -6.349614 -38.118560 -52.402576      1
 -9.341481 -33.867721 -59.903534      1
 -3.620941 -36.955673 -48.492595      1
-13.034124 -25.678282 -56.409389      1
 -4.143877 -34.532189 -45.261121      1
 -8.029374 -31.959562 -48.071103      1
 -9.671023 -30.633451 -52.451149      1
-13.266417 -27.294522 -54.811590      1
-15.990905 -20.135942 -54.027719      1
-11.902567 -25.932136 -49.208779      1
-10.261839 -26.864333 -43.753062      1
 -5.037925 -29.899429 -40.489438      1
-14.636068 -22.737614 -51.708032      1
 -5.070719 -22.410456 -35.892175      1
-11.147981 -23.666043 -41.015082      1
-14.733030 -20.476924 -45.852485      1
-17.207028 -17.491403 -48.688596      1
-20.160596 -15.593418 -49.857380      1
 -8.829471 -44.808704 -44.877723      1
-40.685769 -13.935145 -28.968083      1
-54.279024  -6.988651 -44.491233      1
-41.982307  -3.910704 -46.212914      1
-57.295026 -19.236874 -52.528775      1
 -4.508961 -45.988658 -31.133321      1
-30.618242 -42.342231 -65.913440      1
-37.693355  -6.655905 -45.632011      1
-19.651500 -47.837755 -30.396665      1
-36.115210  -8.510695 -42.489491      1
-19.589006 -22.784105  -0.357576      1
-12.238448 -21.006861  -4.941078      1
-17.903024 -17.954678  -8.833906      1
-39.276212 -12.359762 -33.432428      1
-31.438039 -28.444081 -13.582696      1
 -7.365194 -41.157101  -9.614116      1
-50.926767 -17.665260 -31.285381      1
-12.698384 -44.183634 -50.780450      1
-42.224986 -15.984870 -29.885214      1
-23.151325 -19.960196  -4.146564      1
-21.965130 -18.285798  -7.078368      1
-38.065063 -24.101959 -20.641729      1
-26.134755 -37.975254 -16.710833      1
