         x          y          z  Frame
 72.085453 -12.609064   1.451924      1
 17.498047   6.306974  23.715577      1
 18.705774   8.423530  22.853073      1
 25.452204  16.492675  23.551528      1
 30.241921  22.011745  27.615532      1
 16.020657   1.061788  42.656510      1
 45.405868  18.043616  36.313331      1
 41.628188  22.862763  24.728577      1
 54.060916   0.915918   1.854078      1
 78.131230 -13.097441  22.386806      1
 78.543282 -21.765410   7.647578      1
 67.704136   0.234234  37.359856      1
 77.761800  -4.435012   9.835434      1
 64.205763  12.419298  18.225023      1
 70.128583 -14.604288  -2.029874      1
 51.376041  -4.061130   5.423341      1
 35.422921  17.106102  15.711381      1
 78.066714 -22.011246  15.110667      1
 74.463150 -11.389562   7.523785      1
 59.904194   5.574532   8.450415      1
 21.062893   6.321822  42.892364      1
 12.471240  -2.752458  33.101228      1
 14.442692  -1.817408  46.145166      1
 24.986628   0.807616  60.087505      1
  1.513551  -6.932798  46.139744      1
  7.733923  -0.072964  56.359973      1
 19.253902   1.154150  67.368253      1
 25.460445 -12.758099  70.687348      1
  5.955756 -17.368736  50.402506      1
 14.022431  -9.762567  38.288131      1
 32.493479 -11.392484  57.944496      1
 20.682106 -18.533095  46.498819      1
 26.095995  13.826805  41.067039      1
 42.901839   8.970576  50.601676      1
 20.217608 -25.013622  58.387721      1
 55.394781  19.164831  18.801527      1
 38.931679  -0.402682   5.166866      1
 45.943230  15.046478  13.844067      1
 61.546013   1.004305  43.132407      1
 64.188580  -6.096102   5.167247      1
 80.986752  -9.447237  29.646555      1
 74.126827   2.324742  12.290552      1
 61.621457  -9.570297   3.013322      1
 68.363417   1.314613   6.134566      1
 23.986815   3.069466   4.921983      1
 14.654492  -3.390239  31.626874      1
 19.025449   2.444028  11.327664      1
 52.292686   0.924903  59.702327      1
 39.708256  -4.330223  59.458649      1
 21.370448  11.527361  22.187821      1
 79.896121  -9.102180  15.895448      1
 69.605177   6.440346  25.676088      1
 29.794759  18.732092  38.908590      1
 77.391935 -18.533726   1.845174      1
 79.054667 -16.105264  -0.096126      1
 59.004287  17.354414  33.545713      1
 77.471016  -1.670218  22.533583      1
 75.589623 -19.010921  22.915445      1
 62.874176 -10.806972  40.421048      1
 59.595486  -3.474157  51.197764      1
 73.587198 -15.435913  32.406263      1
 23.854148  10.209070  43.518689      1
 37.152027   6.762243  54.634588      1
 14.164689   1.826568  25.986008      1
 13.763132   3.143971  20.820882      1
 43.674956   6.969834   3.269753      1
 29.580890  12.092944   9.745268      1
 78.151023 -15.684769   9.458022      1
 81.754163 -20.407386   8.410399      1
 78.550113 -15.263479   9.321816      1
 31.484897  -1.731743  13.480013      1
 21.814454  -3.609408  23.618496      1
 24.424795  -1.770319  16.091588      1
 19.455298  -2.305992  19.112747      1
 25.706837 -11.876964  31.701724      1
 32.871955 -11.381396  47.754273      1
 30.261700 -12.741017  40.283250      1
 49.214927  -2.013596  46.255475      1
 40.469733  -5.428204  46.961215      1
 37.779344  -9.972103  37.699335      1
 45.079876  -7.537495  34.685887      1
 32.729812 -10.160600  27.558851      1
 40.534114 -12.636079  26.525449      1
 30.540598  -5.548539  21.733206      1
 35.953601  -6.894347  17.612260      1
 72.414201 -18.323430  13.244026      1
 65.650789 -14.280212   3.088951      1
 72.830222 -20.780289  18.114856      1
 71.614560 -12.889573   7.195058      1
 72.097415 -18.846592  23.032345      1
 59.676928 -10.596907   7.150790      1
 68.248698 -16.095470  27.028346      1
 65.154405 -17.055149  22.429444      1
 62.804057 -16.136394  16.362808      1
 61.584415 -12.274179  10.802415      1
 50.824679  -7.131141   9.713354      1
 55.245870 -15.461321  19.627066      1
 57.848930 -15.881922  26.769070      1
 60.989023 -13.450617  36.317141      1
 51.127658 -13.013110  13.637835      1
 54.934497  -7.879602  42.106470      1
 51.947630 -10.542991  31.123881      1
 47.370730 -13.606241  22.259379      1
 45.224869  -8.829662  15.685518      1
 40.445293  -4.368117  11.732926      1
 72.075920 -35.159142  28.361680      1
  7.759371 -14.836530  32.466495      1
 -8.430693 -14.383246   9.496161      1
  3.751678  -1.832730  10.009664      1
  1.627457 -34.401613  -0.079992      1
 60.364857 -30.840999  47.080107      1
 54.050526 -40.442864 -10.271609      1
 10.145861  -1.473394   7.563629      1
 53.484526 -37.359523  41.415828      1
 11.600410  -1.589801  21.138859      1
 28.845836 -12.107742  83.761336      1
 42.964341  -9.303895  81.972292      1
 32.583670 -10.036434  77.039376      1
 10.105810  -9.239265  30.435579      1
 29.885247 -32.920902  64.454530      1
 52.654380 -28.946516  73.400417      1
 -0.860181 -21.278983  29.083443      1
 72.889850 -38.224472  20.934135      1
  6.068352 -15.616842  32.312999      1
 24.956357 -11.483531  78.837141      1
 27.245806 -11.743833  76.520091      1
 20.886660 -29.525412  48.771148      1
 41.457068 -42.359371  68.923430      1
 26.305111 -12.880152  80.727310      1
 34.839238 -14.479158  83.660914      1
 38.348537  -6.815533  77.212687      1
 17.062963 -35.355256  -2.919387      1
 59.364866 -30.503882  62.290643      1
 52.939014 -46.945892  61.226224      1
 32.737209 -48.382352  33.198171      1
 68.461128 -32.562635  38.597174      1
 62.559928 -40.309344  32.340207      1
 31.359629 -39.650925  -5.735689      1
 65.448928 -44.536137  10.513697      1
 56.799547 -47.312693  16.679674      1
 45.340524 -38.643488  -9.757558      1
 14.190805  -4.212340  24.378864      1
 44.414337 -13.092968   3.299979      1
 55.225785 -17.241188  -0.456297      1
 31.213885  -8.901124  -0.338045      1
 17.812896  -4.101384   1.321670      1
 67.359795 -22.764597  -7.679813      1
 43.240950 -50.237533  25.376041      1
 13.980258 -15.034373  36.571824      1
 21.869231 -24.936307  47.670955      1
 74.771983 -28.233171  24.936422      1
 -1.264473 -47.865021  11.315103      1
 61.230933 -21.818278  43.629529      1
 -9.810476 -19.909120  18.002230      1
 78.179944 -30.031356   7.671841      1
 76.849022 -31.140503  19.373682      1
 17.154828 -45.939954  11.597392      1
 58.499591 -14.951864  56.778644      1
 48.934712 -45.172232   3.429121      1
 70.093794 -24.262881  34.553542      1
 60.991078 -45.404326  -3.024086      1
 32.000357 -21.614628  56.927095      1
 33.119628 -43.698125   9.484038      1
 76.842622 -24.493331  -1.563689      1
 40.506570  -9.672519  63.218222      1
 55.784359  -7.970326  68.181696      1
  8.138205  -0.243463  14.422434      1
 11.063460  -0.513559  15.325287      1
 21.110842  -8.118634  11.857193      1
 19.279087  -9.790540  20.581156      1
 25.947564 -10.721809   7.418445      1
 16.796278  -6.781884  15.199843      1
 24.318047 -17.064626  31.536276      1
 29.817719 -22.962299  41.912866      1
 33.547627 -19.940817  50.704844      1
 41.141165 -15.688696  50.628296      1
 47.909361  -9.287620  49.300785      1
 36.124562 -20.367408  38.627439      1
 43.846471 -21.802060  37.551479      1
 30.269955 -17.420481  27.245281      1
 35.587889 -21.179810  24.654873      1
 25.727512 -14.912485  18.568999      1
 33.199699 -17.127578  15.597091      1
 65.318248 -17.319859   1.372019      1
 69.808828 -30.056431  25.102907      1
 69.195604 -24.749256  12.194613      1
 71.187968 -29.317398  19.859194      1
 72.464785 -17.338520   5.492583      1
 56.740522 -18.590262   1.621846      1
 66.524425 -24.511106  29.732539      1
 58.427714 -22.589981   7.536698      1
 61.191112 -25.953845  15.641592      1
 63.074746 -26.637311  23.257656      1
 45.054621 -19.325030   3.984179      1
 51.009217 -26.252587  19.443700      1
 55.410509 -25.036395  28.310244      1
 60.821635 -22.705891  38.811785      1
 50.591569 -20.247294  11.325639      1
 55.084866 -17.868934  44.805368      1
 50.308782 -22.405954  34.619843      1
 43.738021 -24.397069  22.958304      1
 41.319225 -20.534975  13.779449      1
 35.512936 -15.517505   7.206049      1
 29.462553 -28.534276  64.171529      1
 42.363370 -25.711514  78.168384      1
 50.977829 -10.990669  75.226796      1
 35.277549 -15.974134  66.996443      1
 36.352261 -30.215926  75.008103      1
 42.496709 -10.803470  70.237959      1
 50.566473 -48.365126  35.345635      1
 58.286326 -44.693824  25.751001      1
 37.066238 -49.499247  45.960464      1
 65.522208 -41.896901  20.400940      1
 29.734429 -48.191535  57.176032      1
 16.930606 -46.628696  38.470252      1
 -8.339917 -37.011622  17.583925      1
-11.633802 -27.683362   0.942814      1
 11.700121 -16.488005  -1.271963      1
 39.123910 -22.754430   0.085344      1
 27.926586 -20.388352  -2.283597      1
 50.453241 -27.152417  -4.511252      1
 -4.276753  -7.587318   9.144909      1
 62.132510 -32.967833 -11.511079      1
 71.904762 -39.190103  -3.104392      1
 74.905956 -41.009319   7.512101      1
  0.712391 -11.862578   3.984315      1
 11.820755 -36.974655  41.106497      1
 66.115687 -38.329282  26.154786      1
 30.748497 -24.832743  62.583237      1
 54.857547   1.549201  -3.888712      1
 71.731578  -1.895007  45.509910      1
 69.661936  17.925385  16.270015      1
 47.745013  -2.948511  -1.905355      1
 57.812534  11.005881   3.560253      1
 55.153397  28.506004  21.087642      1
 38.220244   0.128778  -1.989800      1
 47.496484  20.885643   5.222775      1
 63.521646   5.687578  48.387080      1
 61.297876  -5.178072   0.285887      1
 83.111472  -7.046126  33.008406      1
 75.749012   8.963791  11.478725      1
 58.641082  -9.346887  -2.992946      1
 67.814031   5.250953  -1.247831      1
 72.345609  13.029298  28.575819      1
 64.907892  21.697347  37.831522      1
 84.890055   1.382075  24.125741      1
 41.796036   8.904532  -1.700894      1
 70.928946 -11.942409  -2.361866      1
 83.512823 -14.177968  24.383846      1
 84.149813  -1.812516   8.208819      1
 69.017539 -15.009070  -7.982239      1
 76.595662  -7.468668   2.506498      1
 81.952900  -9.294680  16.531305      1
 81.169366 -18.658501  -4.107392      1
 81.272514 -17.934145  -1.316095      1
 81.947869 -17.673431  10.791297      1
 84.276336 -20.736429   5.276992      1
 84.481547 -16.029307   6.318058      1
 78.148521 -19.077334  26.194468      1
 64.505618  -7.326560  45.328100      1
 63.587274  -5.042427  56.662722      1
 79.280693 -15.268406  38.598148      1
 72.910211 -35.608930  29.425403      1
 60.226178 -30.292667  48.474411      1
 53.209246 -40.256767 -13.713252      1
 54.062672 -40.465238  44.049397      1
 74.242292 -40.130041  21.240236      1
 12.982927 -37.838633  -7.709525      1
 61.154569 -33.341195  66.096546      1
 52.272809 -49.936102  63.507843      1
 32.967830 -53.777777  35.233106      1
 69.441883 -33.698631  41.009649      1
 62.211638 -42.163816  33.499298      1
 28.411201 -40.062156  -9.132959      1
 67.097414 -48.848061  11.246268      1
 57.421212 -51.352667  18.075806      1
 43.104754 -39.260070 -12.757978      1
 42.642404 -13.104661   0.546019      1
 53.379448 -17.415134  -3.275359      1
 29.082690  -9.612913  -2.382513      1
 66.670413 -22.983863 -12.182787      1
 43.341580 -54.839875  25.691456      1
 62.177205 -23.669824  45.965013      1
 14.841008 -48.657049   9.756920      1
 59.781442 -15.127844  59.234924      1
 48.357119 -48.212718   2.248679      1
 69.786048 -25.356129  35.852640      1
 60.589490 -48.586517  -4.822855      1
 31.621747 -46.347963   8.424626      1
 81.334771 -32.582531   6.695677      1
 79.704403 -27.349308  -4.445157      1
  6.331300 -14.682842  33.471300      1
 11.140707   0.986413  46.756689      1
 19.714958   6.373917  48.138890      1
  9.263919  -1.166348  33.882955      1
 10.083132  -1.476704  22.466933      1
 11.102193   0.455541  48.192031      1
 23.889147   1.874619  64.919452      1
 31.079940  -9.484128  76.162295      1
  9.087837 -10.002721  32.143148      1
 -1.752482  -5.021596  42.723966      1
  6.657170   1.927350  54.075206      1
 20.406137   2.259959  69.993076      1
